Team,FGM,Att,FG,1-19 >,20-29 >,30-39 >,40-49 >,50-59 >,60+ >,Lng,FGPct,XPM,XP,KRet,PRet,KO,Yds,TB,TBPct,Ret,RetPct,OSK,OSKPct,OOB,TD,Cmp,CmpPct,Yds/Att,Pass,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Avg,FC,FUM
Colts,20.0,,76.9,,,,,,,,,64.0,98.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,20.0,,80.0,,,,,,,,,54.0,98.2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,19.0,,70.4,,,,,,,,,39.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,19.0,,79.2,,,,,,,,,32.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,19.0,,82.6,,,,,,,,,26.0,96.3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,19.0,,70.4,,,,,,,,,25.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,18.0,,78.3,,,,,,,,,40.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,18.0,,81.8,,,,,,,,,45.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,18.0,,81.8,,,,,,,,,23.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,17.0,,70.8,,,,,,,,,34.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,17.0,,73.9,,,,,,,,,58.0,96.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,15.0,,62.5,,,,,,,,,22.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,15.0,,62.5,,,,,,,,,32.0,97.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,,,,,,,,,,,,,,,,101.0,5988.0,4.0,4.0,92.0,21.3,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,
Chiefs,,,,,,,,,,,,,,,,94.0,5688.0,7.0,7.4,85.0,22.4,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Patriots,,,,,,,,,,,,,,,,94.0,5921.0,6.0,6.4,86.0,23.3,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Chargers,,,,,,,,,,,,,,,,91.0,5507.0,2.0,2.2,83.0,22.2,1.0,0.0,5.0,2.0,,,,,,,,,,,,,,,
Broncos,,,,,,,,,,,,,,,,86.0,5459.0,16.0,18.6,68.0,24.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Eagles,,,,,,,,,,,,,,,,86.0,5579.0,12.0,14.0,73.0,23.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Steelers,,,,,,,,,,,,,,,,84.0,5218.0,7.0,8.3,74.0,21.6,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,
Bills,,,,,,,,,,,,,,,,83.0,4835.0,3.0,3.6,77.0,18.3,3.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Bengals,,,,,,,,,,,,,,,,83.0,5014.0,2.0,2.4,80.0,19.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Packers,,,,,,,,,,,,,,,,83.0,4862.0,2.0,2.4,79.0,20.2,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Seahawks,,,,,,,,,,,,,,,,83.0,5091.0,5.0,6.0,77.0,21.8,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Vikings,,,,,,,,,,,,,,,,82.0,5159.0,4.0,4.9,75.0,24.9,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Saints,,,,,,,,,,,,,,,,79.0,5042.0,1.0,1.3,74.0,23.1,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Jets,,,,,,,,,,,,,,,,79.0,4989.0,7.0,8.9,72.0,21.6,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Ravens,,,,,,,,,,,,,,,,77.0,4838.0,9.0,11.7,65.0,23.2,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,
Panthers,,,,,,,,,,,,,,,,77.0,4501.0,3.0,3.9,69.0,21.4,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Titans,,,,,,,,,,,,,,,,77.0,4454.0,3.0,3.9,69.0,20.1,4.0,3.0,0.0,0.0,,,,,,,,,,,,,,,
Raiders,,,,,,,,,,,,,,,,76.0,4871.0,12.0,15.8,62.0,23.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Falcons,,,,,,,,,,,,,,,,74.0,4709.0,13.0,17.6,56.0,20.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,
Lions,,,,,,,,,,,,,,,,72.0,4632.0,14.0,19.4,54.0,19.6,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Texans,,,,,,,,,,,,,,,,71.0,4506.0,9.0,12.7,60.0,23.1,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Giants,,,,,,,,,,,,,,,,71.0,4094.0,2.0,2.8,66.0,19.4,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Rams,,,,,,,,,,,,,,,,70.0,4449.0,3.0,4.3,66.0,25.4,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,,,,,70.0,4722.0,23.0,32.9,46.0,22.1,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Browns,,,,,,,,,,,,,,,,69.0,4172.0,5.0,7.2,59.0,22.6,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Cowboys,,,,,,,,,,,,,,,,67.0,4134.0,3.0,4.5,62.0,17.5,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Buccaneers,,,,,,,,,,,,,,,,67.0,4051.0,6.0,9.0,58.0,22.7,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Dolphins,,,,,,,,,,,,,,,,65.0,4164.0,12.0,18.5,51.0,21.8,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Jaguars,,,,,,,,,,,,,,,,62.0,4042.0,11.0,17.7,50.0,19.9,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Redskins,,,,,,,,,,,,,,,,62.0,3647.0,1.0,1.6,57.0,21.5,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
49ers,,,,,,,,,,,,,,,,61.0,3441.0,1.0,1.6,56.0,20.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Bears,,,,,,,,,,,,,,,,57.0,3337.0,0.0,0.0,54.0,21.5,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Packers,,598.0,,,,,,,,79,,,,,,,,,,,,,,,36.0,382.0,63.9,7.6,4550.0,19.0,93.8,228.0,38.1,58.0,13.0,14.0,101.0,,,
Titans,,589.0,,,,,,,,48,,,,,,,,,,,,,,,27.0,356.0,60.4,6.7,3933.0,19.0,82.1,200.0,34.0,46.0,5.0,44.0,317.0,,,
Dolphins,,586.0,,,,,,,,76,,,,,,,,,,,,,,,19.0,309.0,52.7,5.8,3391.0,26.0,62.5,165.0,28.2,38.0,5.0,52.0,326.0,,,
Raiders,,582.0,,,,,,,,63T,,,,,,,,,,,,,,,24.0,330.0,56.7,6.9,4019.0,22.0,76.1,176.0,30.2,55.0,11.0,30.0,161.0,,,
Rams,,580.0,,,,,,,,75T,,,,,,,,,,,,,,,23.0,372.0,64.1,8.0,4615.0,22.0,86.1,203.0,35.0,67.0,8.0,50.0,362.0,,,
Chiefs,,561.0,,,,,,,,70T,,,,,,,,,,,,,,,27.0,370.0,66.0,8.3,4633.0,17.0,94.9,228.0,40.6,60.0,10.0,32.0,227.0,,,
49ers,,561.0,,,,,,,,65,,,,,,,,,,,,,,,16.0,325.0,57.9,6.2,3455.0,21.0,69.9,172.0,30.7,28.0,3.0,52.0,319.0,,,
Vikings,,552.0,,,,,,,,82T,,,,,,,,,,,,,,,39.0,380.0,68.8,8.6,4754.0,12.0,109.8,225.0,40.8,64.0,18.0,46.0,238.0,,,
Eagles,,547.0,,,,,,,,80T,,,,,,,,,,,,,,,32.0,336.0,61.4,7.7,4208.0,11.0,96.4,188.0,34.4,56.0,20.0,37.0,229.0,,,
Saints,,542.0,,,,,,,,57,,,,,,,,,,,,,,,21.0,309.0,57.0,7.0,3810.0,16.0,79.5,177.0,32.7,57.0,5.0,41.0,223.0,,,
Panthers,,536.0,,,,,,,,63T,,,,,,,,,,,,,,,29.0,311.0,58.0,7.3,3889.0,15.0,87.0,192.0,35.8,60.0,8.0,33.0,246.0,,,
Bengals,,536.0,,,,,,,,76T,,,,,,,,,,,,,,,23.0,324.0,60.4,6.6,3520.0,22.0,77.0,172.0,32.1,42.0,8.0,31.0,219.0,,,
Cardinals,,533.0,,,,,,,,48,,,,,,,,,,,,,,,14.0,299.0,56.1,6.0,3202.0,18.0,68.6,152.0,28.5,38.0,4.0,39.0,320.0,,,
Seahawks,,532.0,,,,,,,,60,,,,,,,,,,,,,,,23.0,304.0,57.1,7.0,3715.0,18.0,79.1,189.0,35.5,47.0,4.0,34.0,176.0,,,
Colts,,527.0,,,,,,,,80,,,,,,,,,,,,,,,51.0,353.0,67.0,9.0,4732.0,10.0,119.7,238.0,45.2,69.0,14.0,14.0,109.0,,,
Broncos,,521.0,,,,,,,,85T,,,,,,,,,,,,,,,27.0,303.0,58.2,7.8,4089.0,20.0,84.5,184.0,35.3,55.0,9.0,15.0,90.0,,,
Cowboys,,519.0,,,,,,,,53,,,,,,,,,,,,,,,19.0,308.0,59.3,7.0,3636.0,23.0,74.5,171.0,33.0,48.0,4.0,36.0,208.0,,,
Redskins,,514.0,,,,,,,,51,,,,,,,,,,,,,,,18.0,288.0,56.0,5.6,2874.0,17.0,70.0,156.0,30.4,27.0,5.0,38.0,242.0,,,
Jaguars,,513.0,,,,,,,,65,,,,,,,,,,,,,,,17.0,305.0,59.4,6.5,3315.0,11.0,80.7,161.0,31.4,35.0,7.0,32.0,156.0,,,
Buccaneers,,512.0,,,,,,,,75T,,,,,,,,,,,,,,,24.0,340.0,66.4,7.4,3773.0,18.0,89.1,175.0,34.2,50.0,10.0,44.0,299.0,,,
Lions,,505.0,,,,,,,,62,,,,,,,,,,,,,,,19.0,285.0,56.4,6.2,3124.0,13.0,76.7,142.0,28.1,43.0,4.0,37.0,208.0,,,
Patriots,,485.0,,,,,,,,50T,,,,,,,,,,,,,,,29.0,293.0,60.4,7.7,3750.0,14.0,92.6,193.0,39.8,53.0,10.0,26.0,162.0,,,
Giants,,475.0,,,,,,,,62T,,,,,,,,,,,,,,,12.0,269.0,56.6,6.5,3097.0,13.0,73.5,143.0,30.1,35.0,10.0,52.0,279.0,,,
Bears,,471.0,,,,,,,,63T,,,,,,,,,,,,,,,9.0,249.0,52.9,5.6,2641.0,16.0,61.7,121.0,25.7,33.0,5.0,66.0,449.0,,,
Texans,,471.0,,,,,,,,69,,,,,,,,,,,,,,,16.0,286.0,60.7,7.5,3547.0,14.0,83.0,174.0,36.9,47.0,6.0,49.0,301.0,,,
Ravens,,465.0,,,,,,,,57T,,,,,,,,,,,,,,,13.0,258.0,55.5,5.5,2559.0,11.0,70.7,135.0,29.0,28.0,4.0,35.0,247.0,,,
Bills,,461.0,,,,,,,,69,,,,,,,,,,,,,,,21.0,262.0,56.8,6.6,3032.0,17.0,76.7,149.0,32.3,33.0,9.0,38.0,215.0,,,
Chargers,,450.0,,,,,,,,79,,,,,,,,,,,,,,,29.0,288.0,64.0,7.8,3506.0,8.0,102.0,160.0,35.6,45.0,9.0,21.0,149.0,,,
Browns,,439.0,,,,,,,,99,,,,,,,,,,,,,,,21.0,251.0,57.2,7.0,3076.0,21.0,74.9,125.0,28.5,36.0,14.0,41.0,252.0,,,
Jets,,438.0,,,,,,,,69T,,,,,,,,,,,,,,,19.0,282.0,64.4,7.4,3231.0,11.0,90.5,163.0,37.2,38.0,9.0,31.0,181.0,,,
Falcons,,395.0,,,,,,,,62,,,,,,,,,,,,,,,15.0,217.0,54.9,6.8,2692.0,16.0,72.0,120.0,30.4,39.0,9.0,50.0,280.0,,,
Steelers,,358.0,,,,,,,,58,,,,,,,,,,,,,,,20.0,228.0,63.7,8.3,2970.0,13.0,93.2,147.0,41.1,47.0,7.0,36.0,250.0,,,
Falcons,,,,,,,,,,75,,,,,1.0,,457.0,,,37.0,,,,,,,,,,,,,,7.0,2.0,,,12.4,17.0,2.0
Browns,,,,,,,,,,44,,,,,0.0,,432.0,,,36.0,,,,,,,,,,,,,,6.0,1.0,,,12.0,12.0,2.0
Bears,,,,,,,,,,75T,,,,,1.0,,510.0,,,46.0,,,,,,,,,,,,,,8.0,2.0,,,11.1,15.0,4.0
Dolphins,,,,,,,,,,71,,,,,0.0,,564.0,,,52.0,,,,,,,,,,,,,,8.0,1.0,,,10.8,14.0,6.0
Bills,,,,,,,,,,86,,,,,2.0,,491.0,,,46.0,,,,,,,,,,,,,,8.0,4.0,,,10.7,10.0,4.0
Lions,,,,,,,,,,83T,,,,,2.0,,420.0,,,40.0,,,,,,,,,,,,,,7.0,2.0,,,10.5,17.0,1.0
Ravens,,,,,,,,,,78T,,,,,2.0,,616.0,,,60.0,,,,,,,,,,,,,,7.0,3.0,,,10.3,12.0,4.0
Saints,,,,,,,,,,53,,,,,0.0,,388.0,,,40.0,,,,,,,,,,,,,,6.0,2.0,,,9.7,12.0,0.0
Chiefs,,,,,,,,,,46T,,,,,0.0,,232.0,,,24.0,,,,,,,,,,,,,,4.0,1.0,,,9.7,17.0,0.0
Jaguars,,,,,,,,,,50,,,,,0.0,,405.0,,,42.0,,,,,,,,,,,,,,3.0,1.0,,,9.6,10.0,3.0
Bengals,,,,,,,,,,49,,,,,0.0,,328.0,,,35.0,,,,,,,,,,,,,,4.0,2.0,,,9.4,18.0,2.0
Broncos,,,,,,,,,,39,,,,,0.0,,400.0,,,43.0,,,,,,,,,,,,,,6.0,0.0,,,9.3,17.0,4.0
Eagles,,,,,,,,,,40,,,,,0.0,,377.0,,,41.0,,,,,,,,,,,,,,4.0,1.0,,,9.2,20.0,2.0
Vikings,,,,,,,,,,91,,,,,1.0,,275.0,,,31.0,,,,,,,,,,,,,,3.0,1.0,,,8.9,14.0,1.0
Cowboys,,,,,,,,,,55,,,,,0.0,,390.0,,,44.0,,,,,,,,,,,,,,2.0,1.0,,,8.9,16.0,3.0
49ers,,,,,,,,,,71T,,,,,1.0,,303.0,,,35.0,,,,,,,,,,,,,,2.0,1.0,,,8.7,21.0,3.0
Chargers,,,,,,,,,,32T,,,,,0.0,,243.0,,,29.0,,,,,,,,,,,,,,2.0,0.0,,,8.4,15.0,5.0
Steelers,,,,,,,,,,60,,,,,0.0,,365.0,,,44.0,,,,,,,,,,,,,,6.0,2.0,,,8.3,13.0,2.0
Texans,,,,,,,,,,27,,,,,0.0,,329.0,,,40.0,,,,,,,,,,,,,,3.0,0.0,,,8.2,13.0,3.0
Redskins,,,,,,,,,,43T,,,,,0.0,,331.0,,,42.0,,,,,,,,,,,,,,2.0,1.0,,,7.9,23.0,1.0
Packers,,,,,,,,,,28,,,,,0.0,,254.0,,,33.0,,,,,,,,,,,,,,2.0,0.0,,,7.7,27.0,1.0
Seahawks,,,,,,,,,,48,,,,,0.0,,230.0,,,30.0,,,,,,,,,,,,,,2.0,1.0,,,7.7,26.0,0.0
Jets,,,,,,,,,,46,,,,,0.0,,313.0,,,41.0,,,,,,,,,,,,,,4.0,1.0,,,7.6,13.0,3.0
Colts,,,,,,,,,,34,,,,,0.0,,171.0,,,24.0,,,,,,,,,,,,,,1.0,0.0,,,7.1,15.0,0.0
Cardinals,,,,,,,,,,38T,,,,,0.0,,329.0,,,49.0,,,,,,,,,,,,,,2.0,0.0,,,6.7,14.0,3.0
Giants,,,,,,,,,,29,,,,,0.0,,253.0,,,38.0,,,,,,,,,,,,,,3.0,0.0,,,6.7,11.0,1.0
Buccaneers,,,,,,,,,,59T,,,,,1.0,,213.0,,,33.0,,,,,,,,,,,,,,1.0,1.0,,,6.4,22.0,6.0
Panthers,,,,,,,,,,18T,,,,,0.0,,165.0,,,28.0,,,,,,,,,,,,,,0.0,0.0,,,5.9,14.0,2.0
Patriots,,,,,,,,,,23,,,,,0.0,,230.0,,,40.0,,,,,,,,,,,,,,2.0,0.0,,,5.8,15.0,6.0
Raiders,,,,,,,,,,18,,,,,0.0,,132.0,,,24.0,,,,,,,,,,,,,,0.0,0.0,,,5.5,9.0,2.0
Rams,,,,,,,,,,39,,,,,0.0,,143.0,,,30.0,,,,,,,,,,,,,,2.0,0.0,,,4.8,18.0,3.0
Titans,,,,,,,,,,18,,,,,0.0,,173.0,,,40.0,,,,,,,,,,,,,,0.0,0.0,,,4.3,16.0,5.0
Cardinals,43.0,45.0,95.6,1_1,11_11,12_12,14_13,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,35.0,42.0,83.3,0_0,13_11,14_13,10_8,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,30.0,35.0,85.7,1_1,8_8,11_10,14_11,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,29.0,35.0,82.9,0_0,9_8,13_11,10_7,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,28.0,32.0,87.5,0_0,11_11,11_10,9_7,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,27.0,29.0,93.1,2_2,11_11,11_9,5_5,0_0,0_0,44,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,27.0,33.0,81.8,1_1,8_8,13_12,8_4,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,27.0,31.0,87.1,0_0,7_6,8_8,11_9,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,26.0,34.0,76.5,1_1,8_8,8_8,9_6,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,26.0,34.0,76.5,0_0,9_9,17_12,6_4,0_0,0_0,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,26.0,29.0,89.7,0_0,4_4,12_10,10_10,0_0,0_0,56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,25.0,30.0,83.3,0_0,10_9,12_9,6_6,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,25.0,34.0,73.5,0_0,11_11,8_3,10_8,0_0,0_0,56,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,25.0,32.0,78.1,1_1,13_12,6_4,12_8,0_0,0_0,49,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,24.0,27.0,88.9,0_0,10_9,11_11,4_3,0_0,0_0,58,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,24.0,32.0,75.0,0_0,10_9,5_5,13_9,0_0,0_0,51,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,24.0,29.0,82.8,0_0,9_9,9_9,9_6,0_0,0_0,44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,23.0,29.0,79.3,0_0,10_10,7_6,7_5,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,23.0,26.0,88.5,1_1,9_9,7_6,8_7,0_0,0_0,48,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,23.0,30.0,76.7,0_0,9_9,8_7,10_5,0_0,0_0,53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,22.0,31.0,71.0,0_0,9_9,12_9,10_4,0_0,0_0,48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,22.0,28.0,78.6,0_0,9_8,7_7,10_7,0_0,0_0,49,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,22.0,29.0,75.9,0_0,6_6,9_8,12_7,0_0,0_0,50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,22.0,27.0,81.5,0_0,5_3,8_8,12_10,0_0,0_0,50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,21.0,24.0,87.5,1_1,3_3,9_9,11_8,0_0,0_0,49,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,20.0,28.0,71.4,1_1,10_9,9_6,7_3,0_0,0_0,56,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,20.0,27.0,74.1,0_0,7_7,10_6,5_3,0_0,0_0,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,20.0,30.0,66.7,1_1,8_7,6_5,12_7,0_0,0_0,49,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,20.0,25.0,80.0,0_0,7_7,10_9,6_4,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,19.0,24.0,79.2,1_1,9_9,3_3,7_4,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,18.0,25.0,72.0,0_0,5_5,5_4,7_4,0_0,0_0,55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,17.0,21.0,81.0,1_1,4_4,8_6,7_6,0_0,0_0,45,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,43.0,,95.6,,,,,,,,,20.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,35.0,,83.3,,,,,,,,,43.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,30.0,,85.7,,,,,,,,,23.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,29.0,,82.9,,,,,,,,,26.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,28.0,,87.5,,,,,,,,,47.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,27.0,,93.1,,,,,,,,,19.0,90.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,27.0,,81.8,,,,,,,,,44.0,97.8,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,27.0,,87.1,,,,,,,,,36.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,26.0,,76.5,,,,,,,,,43.0,97.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,26.0,,76.5,,,,,,,,,24.0,100.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,26.0,,89.7,,,,,,,,,21.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,25.0,,83.3,,,,,,,,,33.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,25.0,,73.5,,,,,,,,,31.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,25.0,,78.1,,,,,,,,,22.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,24.0,,88.9,,,,,,,,,35.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,24.0,,75.0,,,,,,,,,43.0,97.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,24.0,,82.8,,,,,,,,,45.0,100.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,23.0,,79.3,,,,,,,,,30.0,93.8,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,23.0,,88.5,,,,,,,,,52.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,23.0,,76.7,,,,,,,,,38.0,97.4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,22.0,,71.0,,,,,,,,,26.0,96.3,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,22.0,,78.6,,,,,,,,,24.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,22.0,,75.9,,,,,,,,,32.0,97.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,22.0,,81.5,,,,,,,,,32.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,21.0,,87.5,,,,,,,,,49.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,20.0,,71.4,,,,,,,,,35.0,97.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,20.0,,74.1,,,,,,,,,30.0,96.8,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,20.0,,66.7,,,,,,,,,30.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,20.0,,80.0,,,,,,,,,41.0,97.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,19.0,,79.2,,,,,,,,,27.0,96.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,18.0,,72.0,,,,,,,,,56.0,98.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,17.0,,81.0,,,,,,,,,42.0,100.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,,,,,,,,,,,,,,,,98.0,6211.0,12.0,12.2,85.0,22.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Bengals,,,,,,,,,,,,,,,,91.0,5476.0,2.0,2.2,85.0,21.0,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
Colts,,,,,,,,,,,,,,,,90.0,5539.0,1.0,1.1,89.0,22.2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Seahawks,,,,,,,,,,,,,,,,89.0,5600.0,4.0,4.5,82.0,22.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
Chiefs,,,,,,,,,,,,,,,,88.0,5363.0,2.0,2.3,83.0,24.7,4.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
Chargers,,,,,,,,,,,,,,,,88.0,5365.0,4.0,4.6,83.0,22.4,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Panthers,,,,,,,,,,,,,,,,86.0,5430.0,3.0,3.5,80.0,21.3,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,,,,,86.0,5642.0,23.0,26.7,60.0,28.3,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,
Steelers,,,,,,,,,,,,,,,,84.0,5105.0,5.0,6.0,77.0,21.9,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Broncos,,,,,,,,,,,,,,,,83.0,5372.0,14.0,16.9,67.0,25.3,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Patriots,,,,,,,,,,,,,,,,81.0,4992.0,10.0,12.4,68.0,21.9,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Rams,,,,,,,,,,,,,,,,80.0,5067.0,6.0,7.5,70.0,25.4,4.0,2.0,0.0,0.0,,,,,,,,,,,,,,,
Jaguars,,,,,,,,,,,,,,,,79.0,5189.0,20.0,25.3,56.0,23.7,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
